name,prefecture,address,business_hours,closed_days,latitude,longitude,source_url,open_min,close_min,hours_note,closed_rule,needs_review,hours_source_url,hours_raw_text,hours_verified,llm_confidence,llm_note
いとだ,福岡県,福岡県糸田町162-4,9:00～18:00,1月1日・2日,33.64214,130.76467,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E3%81%84%E3%81%A8%E3%81%A0,540,1080,9:00 - 18:00（農産物直売所） / 10:00 - 18:00（飲食コーナー)店舗により異なる,,0,https://www.michi-no-eki.jp/stations/views/19710,9:00～18:00,0,1.0,通常の営業時間
うきは,福岡県,福岡県うきは市浮羽町山北729番地2[https://lg.joureikun.jp/ukiha_city/reiki/act/frame/frame110000358.htm うきは市総合交流ターミナル条例],9:00～17:00,毎月第2火曜日（祝祭日の場合は翌日）,33.33422,130.81825,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E3%81%86%E3%81%8D%E3%81%AF,540,1020,,,0,https://www.michi-no-eki.jp/stations/views/19699,9:00～17:00,0,1.0,標準の営業時間
うすい,福岡県,福岡県嘉麻市上臼井328番地1,9:00～18:30,毎月第2火曜日（祝祭日の場合は翌日）...,33.564,130.71325,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E3%81%86%E3%81%99%E3%81%84,540,1110,,,1,https://www.michi-no-eki.jp/stations/views/19702,9:00～18:30,0,1.0,通常の営業時間
おおき,福岡県,福岡県大木町大字横溝1331番地1,9:00～18:00,偶数月の第1水曜日（祝日の場合は翌日）、12月31日～1月3日,33.21811,130.43794,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E3%81%8A%E3%81%8A%E3%81%8D,540,1080,9:30 - 18:00（10月 - 3月） / 9:30 - 18:30（4月 - 9月）,,0,https://www.michi-no-eki.jp/stations/views/19707,9:00～18:00,0,0.95,記載なし
おおとう桜街道,福岡県,福岡県大任町大字今任原1339,9:00～18:30,不定休,33.6255,130.84586,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E3%81%8A%E3%81%8A%E3%81%A8%E3%81%86%E6%A1%9C%E8%A1%97%E9%81%93,540,1110,,,1,https://www.michi-no-eki.jp/stations/views/19708,9:00～18:30,0,0.95,営業時間情報のみ。
おおむた,福岡県,福岡県大牟田市四箇新町2-1,10:00～18:00,第3水曜日,33.07325,130.53219,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E3%81%8A%E3%81%8A%E3%82%80%E3%81%9F,600,1080,,,0,https://www.michi-no-eki.jp/stations/views/19700,10:00～18:00,0,1.0,4月の営業時間。
くるめ,福岡県,福岡県久留米市善導寺町木塚221番地33[http://www1.city.kurume.fukuoka.jp/reiki_int/reiki_honbun/q005RG00001066.html 久留米市複合アグリビジネス拠点施設条例],09:00～18:00,毎月第３水曜日,33.31906,130.59425,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E3%81%8F%E3%82%8B%E3%82%81,540,1080,9:00 - 18:00 / （農産物直売館）,,0,https://www.michi-no-eki.jp/stations/views/19705,09:00～18:00,0,1.0,通常の営業時間
しんよしとみ,福岡県,福岡県上毛町大字大ノ瀬304-1,8:00～18:00,は変更となる場合がございますので、ご来店前に店舗にご確認ください。,33.58883,131.15433,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E3%81%97%E3%82%93%E3%82%88%E3%81%97%E3%81%A8%E3%81%BF,480,1080,8:00 - 18:00 / 8:00 - 19:00（6 - 8月）,,1,https://www.michi-no-eki.jp/stations/views/19698,8:00～18:00,0,0.95,通常の営業時間。
たちばな,福岡県,福岡県八女市立花町下辺春315番地1,9:00～18:00,第2水曜,33.18761,130.61039,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E3%81%9F%E3%81%A1%E3%81%B0%E3%81%AA,540,1080,,,0,https://www.michi-no-eki.jp/stations/views/19701,9:00～18:00,0,0.9,4月の通常営業時間
みやま,福岡県,福岡県みやま市瀬高町大江2328,9:00～18:00 （不定休）,1月1日～4日のみ,33.14728,130.48403,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E3%81%BF%E3%82%84%E3%81%BE,540,1080,9:00 ~ 18:00,,1,https://www.michi-no-eki.jp/stations/views/19709,9:00～18:00 （不定休）,0,0.9,不定休
むなかた,福岡県,福岡県宗像市江口1172,9:00～17:00,のご案内,33.84844,130.50344,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E3%82%80%E3%81%AA%E3%81%8B%E3%81%9F,540,1020,,,1,https://www.michi-no-eki.jp/stations/views/19704,9:00～17:00,0,0.9,通常の営業時間
原鶴,福岡県,福岡県朝倉市杷木久喜宮1663-1,9:00～18:00,年末年始,33.35383,130.78517,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E5%8E%9F%E9%B6%B4,540,1080,,,0,https://www.michi-no-eki.jp/stations/views/19695,9:00～18:00,0,0.9,4月の営業時間。
