name,prefecture,address,business_hours,closed_days,latitude,longitude,source_url
いとだ,福岡県,福岡県糸田町162-4,9:00 - 18:00（農産物直売所） / 10:00 - 18:00（飲食コーナー)店舗により異なる,1月1日・2日,33.64214,130.76467,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E3%81%84%E3%81%A8%E3%81%A0
うきは,福岡県,福岡県うきは市浮羽町山北729番地2[https://lg.joureikun.jp/ukiha_city/reiki/act/frame/frame110000358.htm うきは市総合交流ターミナル条例],9:00 - 18:00,毎月第2火曜日（祝祭日の場合は翌日）,33.33422,130.81825,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E3%81%86%E3%81%8D%E3%81%AF
うすい,福岡県,福岡県嘉麻市上臼井328番地1,9:30 - 18:30,毎月第2火曜日（祝祭日の場合は翌日）...,33.564,130.71325,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E3%81%86%E3%81%99%E3%81%84
おおき,福岡県,福岡県大木町大字横溝1331番地1,9:30 - 18:00（10月 - 3月） / 9:30 - 18:30（4月 - 9月）,偶数月の第1水曜日（祝日の場合は翌日）、12月31日～1月3日,33.21811,130.43794,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E3%81%8A%E3%81%8A%E3%81%8D
おおとう桜街道,福岡県,福岡県大任町大字今任原1339,9:00 - 18:30,不定休,33.6255,130.84586,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E3%81%8A%E3%81%8A%E3%81%A8%E3%81%86%E6%A1%9C%E8%A1%97%E9%81%93
おおむた,福岡県,福岡県大牟田市四箇新町2-1,9:00 - 18:00,第3水曜日,33.07325,130.53219,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E3%81%8A%E3%81%8A%E3%82%80%E3%81%9F
くるめ,福岡県,福岡県久留米市善導寺町木塚221番地33[http://www1.city.kurume.fukuoka.jp/reiki_int/reiki_honbun/q005RG00001066.html 久留米市複合アグリビジネス拠点施設条例],9:00 - 18:00 / （農産物直売館）,毎月第３水曜日,33.31906,130.59425,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E3%81%8F%E3%82%8B%E3%82%81
しんよしとみ,福岡県,福岡県上毛町大字大ノ瀬304-1,8:00 - 18:00 / 8:00 - 19:00（6 - 8月）,は変更となる場合がございますので、ご来店前に店舗にご確認ください。,33.58883,131.15433,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E3%81%97%E3%82%93%E3%82%88%E3%81%97%E3%81%A8%E3%81%BF
たちばな,福岡県,福岡県八女市立花町下辺春315番地1,9:00 - 18:00,第2水曜,33.18761,130.61039,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E3%81%9F%E3%81%A1%E3%81%B0%E3%81%AA
みやま,福岡県,福岡県みやま市瀬高町大江2328,9:00 ～ 18:00,1月1日～4日のみ,33.14728,130.48403,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E3%81%BF%E3%82%84%E3%81%BE
むなかた,福岡県,福岡県宗像市江口1172,9:00 - 17:00,のご案内,33.84844,130.50344,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E3%82%80%E3%81%AA%E3%81%8B%E3%81%9F
原鶴,福岡県,福岡県朝倉市杷木久喜宮1663-1,8:00 - 17:30,年末年始,33.35383,130.78517,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E5%8E%9F%E9%B6%B4
小石原,福岡県,福岡県東峰村大字小石原941番地3,9:00 - 18:00（4 - 10月、平日） / 9:00 - 19:00（4 - 10月、土日祝） / 9:00 - 17:00（11 - 3月）,年末年始,33.46517,130.82572,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E5%B0%8F%E7%9F%B3%E5%8E%9F
歓遊舎ひこさん,福岡県,福岡県添田町大字野田1113番1,9:00 - 18:00,不定休,33.5495,130.86011,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E6%AD%93%E9%81%8A%E8%88%8E%E3%81%B2%E3%81%93%E3%81%95%E3%82%93
筑前みなみの里,福岡県,福岡県筑前町三並866,|郵便番号 = 838-0205,第3水曜日（祝日の場合は翌日）. 駐車場: 小型205台、大型4台、身障者用4台. バリアフリー.,33.46706,130.62456,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E7%AD%91%E5%89%8D%E3%81%BF%E3%81%AA%E3%81%BF%E3%81%AE%E9%87%8C
豊前おこしかけ,福岡県,福岡県豊前市大字四郎丸1041-1,8:00 - 19:00（4 - 10月） / 8:00 - 18:00（11 - 3月）,なし; URL ...,33.61411,131.10094,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E8%B1%8A%E5%89%8D%E3%81%8A%E3%81%93%E3%81%97%E3%81%8B%E3%81%91
香春,福岡県,福岡県香春町大字鏡山1870番地1,9:00 - 19:00,第3水曜日および1月1日～3日（3日間）,33.67653,130.85983,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E9%A6%99%E6%98%A5
うれしの まるく,佐賀県,佐賀県嬉野市嬉野町大字下宿甲4370-2,9:00 - 19:00,・営業時間,33.1066964,129.9971175,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E3%81%86%E3%82%8C%E3%81%97%E3%81%AE_%E3%81%BE%E3%82%8B%E3%81%8F
かみみね,佐賀県,佐賀県三養基郡 上峰町大字坊所1550-3,9：00 - 18：00,毎月第2水曜日、年末年始（12月31日から1 ...,33.33408,130.41722,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E3%81%8B%E3%81%BF%E3%81%BF%E3%81%AD
しろいし,佐賀県,佐賀県杵島郡白石町大字福富下分306-4,9:00 - 18:00,毎月第3水曜日/年末年始,33.17694,130.19606,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E3%81%97%E3%82%8D%E3%81%84%E3%81%97
伊万里,佐賀県,佐賀県伊万里市南波多町井手野2754番地9,8:00 - 17:30,特産館：1/1から1/3、ただし施設メンテナンス、職員研修で不定休あり,33.31358,129.92911,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E4%BC%8A%E4%B8%87%E9%87%8C
厳木,佐賀県,佐賀県唐津市厳木町牧瀬692-1,8:00 - 18:00,1月1～2日,33.31114,130.07189,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E5%8E%B3%E6%9C%A8
吉野ヶ里,佐賀県,佐賀県吉野ヶ里町松隈1710-11,9:00 - 18:00,第3水曜,33.3805,130.39733,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E5%90%89%E9%87%8E%E3%83%B6%E9%87%8C
大和,佐賀県,佐賀県佐賀市大和町梅野805番地,9:00 - 18:00,1月1日から1月3日 · 所在地: 〒840-0203 佐賀市大和町大字梅野805 · 駐車場: あり 56台（大型8台・小型46台・身障者用2台） · アクセス: 車：長崎 ...,33.339,130.25786,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E5%A4%A7%E5%92%8C
太良,佐賀県,佐賀県太良町大字伊福甲3488-2,9:00 - 18:00,1月1日,33.04722,130.16942,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E5%A4%AA%E8%89%AF
山内,佐賀県,佐賀県武雄市山内町大字三間坂甲14697-2,8:30 - 18:00,年末年始のみ（12月31日から1月3日） ; 所在地: 〒849-2303 佐賀県武雄市山内町三間坂大字三間坂甲14697-2 ; 駐車場: 普通自動車：58台 ...,33.19178,129.95617,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E5%B1%B1%E5%86%85
桃山天下市,佐賀県,佐賀県唐津市鎮西町名護屋1859,9:00 - 18:00,毎週火曜日営業時間 ...,33.52878,129.87322,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E6%A1%83%E5%B1%B1%E5%A4%A9%E4%B8%8B%E5%B8%82
