name,prefecture,address,business_hours,closed_days,latitude,longitude,source_url,open_min,close_min,hours_note,closed_rule,needs_review,hours_source_url,hours_raw_text,hours_verified,llm_confidence,llm_note
いたの,徳島県,徳島県板野町川端字中手崎39-5,特産物直売所　8:30～18:00/レストラン 　11:00～18:00　定休日なし（年始のみ）,なし(年始のみ),34.13644,134.47483,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E3%81%84%E3%81%9F%E3%81%AE,,,|郵便番号 = 779-0102,,1,https://www.michi-no-eki.jp/stations/views/19959,特産物直売所　8:30～18:00/レストラン 　11:00～18:00　定休日なし（年始のみ）,0,0.0,llm_json_parse_failed
くるくる なると,徳島県,徳島県鳴門市大津町備前島字蟹田の越338番地1[https://www.city.naruto.tokushima.jp/contents/reiki_int/reiki_honbun/o003RG00001014.html 鳴門市道の駅「くるくる なると」条例],9:00 - 17:00,] なし,34.15814,134.57989,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E3%81%8F%E3%82%8B%E3%81%8F%E3%82%8B_%E3%81%AA%E3%82%8B%E3%81%A8,540,1020,,,1,,,,,
どなり,徳島県,徳島県阿波市土成町宮川内字平間28-2,10:00～17:30,年中無休,34.15086,134.35247,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E3%81%A9%E3%81%AA%E3%82%8A,600,1050,,,0,https://www.michi-no-eki.jp/stations/views/19615,10:00～17:30,0,0.9,通常の営業時間
にしいや,徳島県,徳島県三好市西祖谷山村尾井ノ内348-2,9:00～17:00,] 無休（12～2月は不定休）,33.88917,133.81131,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E3%81%AB%E3%81%97%E3%81%84%E3%82%84,540,1020,9:00 - 17:00（4月 - 11月） / 10:00 - 15:00（12月 - 3月）,,0,https://www.michi-no-eki.jp/stations/views/19616,9:00～17:00,0,1.0,通常の営業時間
ひなの里かつうら,徳島県,徳島県勝浦町大字生名字月ノ瀬,9:00～18:00 第四月曜日定休日（祝日の場合は営業、翌火曜日が定休日）,] 第4月曜、年末年始,33.93219,134.52272,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E3%81%B2%E3%81%AA%E3%81%AE%E9%87%8C%E3%81%8B%E3%81%A4%E3%81%86%E3%82%89,540,1080,,"Fourth Monday of April (unless holiday, then next Tuesday)",0,https://www.michi-no-eki.jp/stations/views/19626,9:00～18:00 第四月曜日定休日（祝日の場合は営業、翌火曜日が定休日）,0,0.95,Holiday observance shifts closure to the following Tuesday.
みまの里,徳島県,徳島県美馬市美馬町字願勝寺72番地,8:30~18:00,について,34.05425,134.05752778,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E3%81%BF%E3%81%BE%E3%81%AE%E9%87%8C,510,1080,|都道府県名=徳島県,,1,https://www.michi-no-eki.jp/stations/views/19921,8:30~18:00,0,1.0,None
もみじ川温泉,徳島県,徳島県那賀町大久保西納野4-7,10:00～22:00,第3火曜日. 利用料金. 「もみじ川温泉」公式 ... お問い合わせ. 道の駅もみじ川温泉〒771-5410 徳島県那賀郡那賀町大久保字西納 ...,33.79764,134.44625,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E3%82%82%E3%81%BF%E3%81%98%E5%B7%9D%E6%B8%A9%E6%B3%89,600,1320,,,0,https://www.michi-no-eki.jp/stations/views/19619,10:00～22:00,0,0.95,通常の営業時間
わじき,徳島県,徳島県那賀町中山字関ヶ原34-56,9:00～17:00,,33.86897,134.55467,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E3%82%8F%E3%81%98%E3%81%8D,540,1020,,,1,https://www.michi-no-eki.jp/stations/views/19617,9:00～17:00,0,1.0,通常の営業時間
三野,徳島県,徳島県三好市三野町太刀野1909-1,9:00～17:00,,34.0505,133.93247,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E4%B8%89%E9%87%8E,540,1020,,,1,https://www.michi-no-eki.jp/stations/views/19622,9:00～17:00,0,1.0,4月の営業時間。
公方の郷なかがわ,徳島県,徳島県阿南市那賀川町工地803番地,9:00～17:00,,33.95294,134.66781,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E5%85%AC%E6%96%B9%E3%81%AE%E9%83%B7%E3%81%AA%E3%81%8B%E3%81%8C%E3%82%8F,540,1020,,,1,https://www.michi-no-eki.jp/stations/views/19618,9:00～17:00,0,1.0,通常の営業時間
大歩危,徳島県,徳島県三好市山城町上名1553-1,9:00～17:00,,33.88158,133.76006,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E5%A4%A7%E6%AD%A9%E5%8D%B1,540,1020,,,1,https://www.michi-no-eki.jp/stations/views/19625,9:00～17:00,0,1.0,営業時間情報のみ記載
宍喰温泉,徳島県,徳島県海陽町大字久保字板取219-6,9:00～18:00,,33.56911,134.30719,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E5%AE%8D%E5%96%B0%E6%B8%A9%E6%B3%89,540,1080,,,1,https://www.michi-no-eki.jp/stations/views/19614,9:00～18:00,0,1.0,通常の営業時間
日和佐,徳島県,徳島県美波町奥河内字寺前493-6,【産直館】　9:30～17:30　定休日：毎週水曜 【物産館】9:00～17：30　無休,] 無休（2026年3月1日より毎週水曜日）,33.73028,134.53025,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E6%97%A5%E5%92%8C%E4%BD%90,570,1050,,Wednesday,0,https://www.michi-no-eki.jp/stations/views/19623,【産直館】　9:30～17:30　定休日：毎週水曜 【物産館】9:00～17：30　無休,0,0.9,産直館
温泉の里神山,徳島県,徳島県神山町神領字西上角151-1,3～10月　9:00～18:00 11月～2月　9:00～17:00,ご案内,33.97356,134.36769,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E6%B8%A9%E6%B3%89%E3%81%AE%E9%87%8C%E7%A5%9E%E5%B1%B1,540,1080,9:00 - 18:00（3月 - 10月） / 9:00 - 17:00（11月 - 2月）,,1,https://www.michi-no-eki.jp/stations/views/19620,3～10月　9:00～18:00 11月～2月　9:00～17:00,0,0.9,3月～10月は9:00～18:00
第九の里,徳島県,徳島県鳴門市大麻町桧字東山田53,9:00～17:00,毎月第4月曜日（祝日の場合は、その翌日が定休日）,34.16383,134.49881,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E7%AC%AC%E4%B9%9D%E3%81%AE%E9%87%8C,540,1020,,,0,https://www.michi-no-eki.jp/stations/views/19624,9:00～17:00,0,1.0,営業時間のみ記載
藍ランドうだつ,徳島県,徳島県美馬市脇町大字脇町55,9:00～18:00,] 12/27～1/1,34.06697,134.1465,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E8%97%8D%E3%83%A9%E3%83%B3%E3%83%89%E3%81%86%E3%81%A0%E3%81%A4,540,1080,,,0,https://www.michi-no-eki.jp/stations/views/19621,9:00～18:00,0,0.95,通常の営業時間
貞光ゆうゆう館,徳島県,徳島県つるぎ町貞光字大須賀11番地1,9:00～18:00,第3水曜日. ※第3水曜日が祝日の場合は、その翌日がお休みとなります。 3月下旬 ～ 11 ...,34.04263889,134.06002778,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E8%B2%9E%E5%85%89%E3%82%86%E3%81%86%E3%82%86%E3%81%86%E9%A4%A8,540,1080,,,0,https://www.michi-no-eki.jp/stations/views/19612,9:00～18:00,0,0.9,通常の営業時間
鷲の里,徳島県,徳島県那賀町和喰字田野89,7:10～17:40（12～2月は8:00～17:20）,] 無休,33.86317,134.50233,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E9%B7%B2%E3%81%AE%E9%87%8C,430,1060,7:10 - 17:40（3月 - 11月） / 8:00 - 17:20（12月 - 2月）,,0,https://www.michi-no-eki.jp/stations/views/19613,7:10～17:40（12～2月は8:00～17:20）,0,0.9,12～2月は8:00～17:20
ことなみ,香川県,香川県まんのう町川東2355番地1,9:00～20:00,毎週火曜日(祝日・祭日は営業),34.095,134.0078,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E3%81%93%E3%81%A8%E3%81%AA%E3%81%BF,540,1200,8:00 - 19:00（平日） / 8:00 - 20:00（土日祝）,,0,https://www.michi-no-eki.jp/stations/views/19637,9:00～20:00,0,0.95,通常の営業時間
ことひき,香川県,香川県観音寺市有明町3番37号,9:00～17:00,年末年始,34.13064,133.64372,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E3%81%93%E3%81%A8%E3%81%B2%E3%81%8D,540,1020,,,0,https://www.michi-no-eki.jp/stations/views/19629,9:00～17:00,0,1.0,4月の通常営業時間。
