name,prefecture,address,business_hours,closed_days,latitude,longitude,source_url
いたの,徳島県,徳島県板野町川端字中手崎39-5,|郵便番号 = 779-0102,なし(年始のみ),34.13644,134.47483,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E3%81%84%E3%81%9F%E3%81%AE
くるくる なると,徳島県,徳島県鳴門市大津町備前島字蟹田の越338番地1[https://www.city.naruto.tokushima.jp/contents/reiki_int/reiki_honbun/o003RG00001014.html 鳴門市道の駅「くるくる なると」条例],9:00 - 17:00,] なし,34.15814,134.57989,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E3%81%8F%E3%82%8B%E3%81%8F%E3%82%8B_%E3%81%AA%E3%82%8B%E3%81%A8
どなり,徳島県,徳島県阿波市土成町宮川内字平間28-2,10:00 - 17:00,年中無休,34.15086,134.35247,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E3%81%A9%E3%81%AA%E3%82%8A
にしいや,徳島県,徳島県三好市西祖谷山村尾井ノ内348-2,9:00 - 17:00（4月 - 11月） / 10:00 - 15:00（12月 - 3月）,] 無休（12～2月は不定休）,33.88917,133.81131,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E3%81%AB%E3%81%97%E3%81%84%E3%82%84
ひなの里かつうら,徳島県,徳島県勝浦町大字生名字月ノ瀬,9:00 - 18:00,] 第4月曜、年末年始,33.93219,134.52272,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E3%81%B2%E3%81%AA%E3%81%AE%E9%87%8C%E3%81%8B%E3%81%A4%E3%81%86%E3%82%89
みまの里,徳島県,徳島県美馬市美馬町字願勝寺72番地,|都道府県名=徳島県,について,34.05425,134.05752778,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E3%81%BF%E3%81%BE%E3%81%AE%E9%87%8C
もみじ川温泉,徳島県,徳島県那賀町大久保西納野4-7,10:00 - 22:00,第3火曜日. 利用料金. 「もみじ川温泉」公式 ... お問い合わせ. 道の駅もみじ川温泉〒771-5410 徳島県那賀郡那賀町大久保字西納 ...,33.79764,134.44625,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E3%82%82%E3%81%BF%E3%81%98%E5%B7%9D%E6%B8%A9%E6%B3%89
わじき,徳島県,徳島県那賀町中山字関ヶ原34-56,9:00 - 17:00,,33.86897,134.55467,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E3%82%8F%E3%81%98%E3%81%8D
三野,徳島県,徳島県三好市三野町太刀野1909-1,9:00 - 18:00,,34.0505,133.93247,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E4%B8%89%E9%87%8E
公方の郷なかがわ,徳島県,徳島県阿南市那賀川町工地803番地,9:00 - 17:00,,33.95294,134.66781,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E5%85%AC%E6%96%B9%E3%81%AE%E9%83%B7%E3%81%AA%E3%81%8B%E3%81%8C%E3%82%8F
