name,prefecture,address,business_hours,closed_days,latitude,longitude,source_url,open_min,close_min,hours_note,closed_rule,needs_review,hours_source_url,hours_raw_text,hours_verified,llm_confidence,llm_note
いかりがせき,青森県,青森県平川市碇ヶ関碇石13-1,9:00～19:00　≪冬期・営業時間短縮あり≫　＜休　年末年始＞,年末年始,40.48153,140.62317,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E3%81%84%E3%81%8B%E3%82%8A%E3%81%8C%E3%81%9B%E3%81%8D,540,1140,9:00 - 20:00（4月 - 11月） / 9:00 - 19:00（12月 - 3月）,年末年始,0,https://www.michi-no-eki.jp/stations/views/18915,9:00～19:00　≪冬期・営業時間短縮あり≫　＜休　年末年始＞,0,0.8,冬期・営業時間短縮あり
いなかだて,青森県,青森県田舎館村大字高樋字八幡10,8:30～18:00　≪冬期・営業時間短縮あり≫　＜休　12/31午後～1/1＞,施設・店舗により異なる。産直センター・レストランは無休、遊具施設は第3火曜及び冬期(11月中旬～4月下旬),40.63358,140.57767,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E3%81%84%E3%81%AA%E3%81%8B%E3%81%A0%E3%81%A6,510,1080,8:30 - 18:00（4月 - 11月） / 8:30 - 17:30（12月 - 3月）,12/31 afternoon - 01/01,1,https://www.michi-no-eki.jp/stations/views/18916,8:30～18:00　≪冬期・営業時間短縮あり≫　＜休　12/31午後～1/1＞,0,0.8,Winter hours apply.
いまべつ,青森県,青森県今別町大字大川平字清川87-16,9:00～19:00　≪冬期・営業時間短縮あり≫,無休（臨時休業あり）,41.14558,140.51428,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E3%81%84%E3%81%BE%E3%81%B9%E3%81%A4,540,1140,9:00 - 18:00（4月 - 10月） / 9:30 - 15:00（11月 - 3月）,,1,https://www.michi-no-eki.jp/stations/views/18911,9:00～19:00　≪冬期・営業時間短縮あり≫,0,0.9,冬期営業時間短縮あり
おがわら湖,青森県,青森県東北町大字上野字南谷地122,8:30～18:00(4～9月)、9:00～17:30(10～3月）＜休　年末年始＞,年末年始(12月30日は時短営業/12月31日～1月2日休館),40.72828,141.27469,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E3%81%8A%E3%81%8C%E3%82%8F%E3%82%89%E6%B9%96,510,1080,9:00 - 19:00（4月 - 9月） / 9:00 - 17:30（10月 - 3月）,年末年始,0,https://www.michi-no-eki.jp/stations/views/18924,8:30～18:00(4～9月)、9:00～17:30(10～3月）＜休　年末年始＞,0,0.95,4月から9月までの営業時間。
かわうち湖,青森県,青森県むつ市川内町福浦山314,9:00～17:00＜休　木曜日＞≪冬期閉鎖あり≫,毎週木曜日（祝日の場合は、営業いたします。） ・冬季閉鎖あり（11月 ...,41.27036,140.88817,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E3%81%8B%E3%82%8F%E3%81%86%E3%81%A1%E6%B9%96,540,1020,,Thursday,0,https://www.michi-no-eki.jp/stations/views/18904,9:00～17:00＜休　木曜日＞≪冬期閉鎖あり≫,0,0.9,Closed on Thursdays. Winter closure possible.
こどまり,青森県,青森県中泊町小泊字折腰内45,9:00～17:00(冬季閉鎖11月上旬～4月下旬）,（冬季閉館）,41.14519,140.32042,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E3%81%93%E3%81%A9%E3%81%BE%E3%82%8A,540,1020,,November early to April late,1,https://www.michi-no-eki.jp/stations/views/18919,9:00～17:00(冬季閉鎖11月上旬～4月下旬）,0,0.9,Winter closure applies from early November to late April.
さんのへ,青森県,青森県三戸町大字川守田字西張渡39-1,9:00～18:00〔施設により異なる〕,年末年始（12月31日～1月1日）,40.38772,141.25539,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E3%81%95%E3%82%93%E3%81%AE%E3%81%B8,540,1080,9:00 - 18:00 / 9:00 - 18:30（8月）,,0,https://www.michi-no-eki.jp/stations/views/18908,9:00～18:00〔施設により異なる〕,0,0.8,施設により異なる
しちのへ,青森県,青森県七戸町字荒熊内67番地94 / （物産館・産直七彩館・花き展示館） / 字荒熊内67番地997[http://www.town.shichinohe.lg.jp/kouhou/reiki/reiki_int/reiki_honbun/r111RG00000709.html 道の駅しちのへ道路・観光情報館の設置及び管理に関する条例] / （道路・観光情報館）,9:00～18:00　＜休　3/31＞,1月1日、3月31日. 道の駅・しちのへ ホームページ.,40.716883,141.154881,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E3%81%97%E3%81%A1%E3%81%AE%E3%81%B8,540,1080,,3/31,0,https://www.michi-no-eki.jp/stations/views/18900,9:00～18:00　＜休　3/31＞,0,0.95,3/31休
しんごう,青森県,青森県新郷村大字戸来字雨池11-2,9:00～17:00　＜休　水曜日＞　≪冬期閉鎖あり≫,水曜日 （夏休み期間は ...,40.43178,141.07444,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E3%81%97%E3%82%93%E3%81%94%E3%81%86,540,1020,,Wednesday,1,https://www.michi-no-eki.jp/stations/views/18905,9:00～17:00　＜休　水曜日＞　≪冬期閉鎖あり≫,0,0.9,Winter closure possible. Wednesday is a regular holiday.
たいらだて,青森県,青森県外ヶ浜町字平舘太郎右エ門沢1番地3,9:00～16:00,は原則として年末年始・お盆休み・ゴールデンウィーク・臨時休業を省略しています。,41.17519,140.64147,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E3%81%9F%E3%81%84%E3%82%89%E3%81%A0%E3%81%A6,540,960,,,1,https://www.michi-no-eki.jp/stations/views/18925,9:00～16:00,0,0.95,Standard opening hours given.
つるた,青森県,青森県鶴田町大字境字里見176-1,9:00～17:00　＜休　1/1＞,1月1日,40.73675,140.44283,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E3%81%A4%E3%82%8B%E3%81%9F,540,1020,10:30 - 19:00（4月 - 10月） / 10:30 - 18:00（11月 - 3月）,1/1,0,https://www.michi-no-eki.jp/stations/views/18922,9:00～17:00　＜休　1/1＞,0,0.9,4月営業時間
とわだ,青森県,青森県十和田市大字伝法寺字平窪37-2,9:00～20:00（4月～10月）、9:00～19:00（11月～3月）　＜休　1/1＞,のお知らせ,40.57472,141.26464,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E3%81%A8%E3%82%8F%E3%81%A0,540,1200,9:00 - 20:00（4月 - 10月） / 9:00 - 19:00（11月 - 3月）,1/1,1,https://www.michi-no-eki.jp/stations/views/18921,9:00～20:00（4月～10月）、9:00～19:00（11月～3月）　＜休　1/1＞,0,0.95,4月～10月は9:00～20:00、11月～3月は9:00～19:00
なみおか,青森県,青森県青森市浪岡大字女鹿沢字野尻2番地3[https://www.city.aomori.aomori.jp/reiki/reiki_honbun/r180RG00000412.html 青森市産地形成促進施設条例],9:00～19:00（3/16～11/15）、9:00～18:00（11/16～3/15）〔施設により異なる〕,,40.71839,140.58017,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E3%81%AA%E3%81%BF%E3%81%8A%E3%81%8B,540,1140,9:00 - 19:00 / （3月16日 - 11月15日） / 9:00 - 18:00 / （11月16日 - 3月15日）,,1,https://www.michi-no-eki.jp/stations/views/18909,9:00～19:00（3/16～11/15）、9:00～18:00（11/16～3/15）〔施設により異なる〕,0,0.95,3/16～11/15の営業時間を優先。施設により異なる点に注意。
なんごう (青森県),青森県,青森県八戸市南郷大字中野字舘野4-4,直売所8:00～18:00(4～10月)・8:30～17:00(11～3月)、レストラン　11:00～19:00(ラストオーダー18:30),年末年始（駐車場・トイレは無休）,40.40589,141.43142,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E3%81%AA%E3%82%93%E3%81%94%E3%81%86_(%E9%9D%92%E6%A3%AE%E7%9C%8C),480,1080,9:00 - 19:00 / 9:00 - 18:00（冬季）,,0,https://www.michi-no-eki.jp/stations/views/18912,直売所8:00～18:00(4～10月)・8:30～17:00(11～3月)、レストラン　11:00～19:00(ラストオーダー18:30),0,0.95,直売所の4月～10月の営業時間。
はしかみ,青森県,青森県階上町大字道仏字耳ヶ吠3-3,9:00～18:00　＜休12/31～1/1＞,12月31日～1月2日,40.45856,141.60833,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E3%81%AF%E3%81%97%E3%81%8B%E3%81%BF,540,1080,9:00 - 19:00（4月 - 12月） / 9:00 - 18:00（1月 - 3月）,12/31-01/01,0,https://www.michi-no-eki.jp/stations/views/18901,9:00～18:00　＜休12/31～1/1＞,0,0.9,年末年始休業
ひろさき,青森県,青森県弘前市大字石川字泉田62-1,9:00～18:30（4月～10月）、9:00～18:00（11月～3月）,| 道の駅ひろさき サンフェスタいしかわ,40.55519,140.54903,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E3%81%B2%E3%82%8D%E3%81%95%E3%81%8D,540,1110,9:00 - 18:30 / 9:00 - 17:30（冬季）,,1,https://www.michi-no-eki.jp/stations/views/18906,9:00～18:30（4月～10月）、9:00～18:00（11月～3月）,0,1.0,4月～10月の営業時間
ふかうら,青森県,青森県深浦町大字風合瀬字上砂子川144-1,9:00～18:00（1～3月17:00）,12月31日～1月3日,40.74389,140.00036,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E3%81%B5%E3%81%8B%E3%81%86%E3%82%89,540,1080,9:00 - 18:00（4月 - 12月） / 9:00 - 17:00（1月 - 3月）,,0,https://www.michi-no-eki.jp/stations/views/18923,9:00～18:00（1～3月17:00）,0,0.9,1～3月は17:00まで
みさわ,青森県,青森県三沢市谷地頭4丁目298-652,直売所　(4月～10月)9:00～18:00　(11月～3月)9：00～17：00　レストラン　(4月～10月)10：30～16：30　ラストオーダー16：00　(11月～3月)10：30～15：30　ラストオーダー15：30　＜休　12/31～1/２＞,毎週月曜日,40.78694,141.36197,https://ja.wikipedia.org/wiki/%E9%81%93%E3%81%AE%E9%A7%85%E3%81%BF%E3%81%95%E3%82%8F,540,1080,9:00 - 19:00（4月 - 10月） / 9:00 - 18:00（11月 - 3月）,12/31-01/02,0,https://www.michi-no-eki.jp/stations/views/18920,直売所　(4月～10月)9:00～18:00　(11月～3月)9：00～17：00　レストラン　(4月～10月)10：30～16：30　ラストオーダー16：00　(11月～3月)10：30～15：30　ラストオーダー15：30　＜休　12/31～1/２＞,0,0.95,直売所。レストランは10:30～16:30、ラストオーダー16:00
